train validation
1.6476473871030306 1.6437179565429687
1.6610988504008244 1.6452355146408082
1.631996148510983 1.6485721349716187
1.650480069612202 1.6560482501983642
1.6604291577088206 1.6845993518829345
1.664191026436655 1.6743599891662597
1.6651040315628052 1.6462905168533326
1.6519410672940706 1.619758129119873
1.6521551860006232 1.6493947505950928
1.6297024488449097 1.6413864850997926
1.6095254734942788 1.5965013027191162
1.6175571868294163 1.6134946584701537
1.654030912800839 1.5881401777267456
1.6528465936058445 1.5985536098480224
1.6188193434163143 1.5672630071640015
1.6258480109666522 1.5598637819290162
1.6025859682183516 1.6164041757583618
1.5943217214785124 1.6161791801452636
1.5491901949832314 1.5962886095046998
1.5617812181773938 1.6359275341033936
1.585386784453141 1.5462141990661622
1.5499622194390548 1.508512806892395
1.5710786894748086 1.551223635673523
1.5442647996701693 1.5489790916442872
1.5488184878700657 1.5247486114501954
1.527118532281173 1.5234408378601074
1.5113075908861662 1.414258074760437
1.4885432594700863 1.509476375579834
1.5060341860118664 1.4858924627304078
1.442780946430407 1.425991702079773
1.4782699221058895 1.3666854619979858
1.3810716741963436 1.40647394657135
1.4289296300787675 1.4124364852905273
1.416301545343901 1.3951189279556275
1.40341517799779 1.4305990219116211
1.3643492585734318 1.3751161098480225
1.38154819764589 1.3347031354904175
1.3156658222800808 1.3786484241485595
1.3482925515425832 1.3740234613418578
1.3444659145254838 1.3120343446731568
1.295349475584532 1.2943571090698243
1.326431864186337 1.3043071985244752
1.316687778422707 1.2700576066970826
1.275633837047376 1.322634720802307
1.2777885010367946 1.355178952217102
1.2250191600699174 1.2640981197357177
1.2774204203957005 1.3060782432556153
1.2856494502017373 1.2791779518127442
1.2255531267115944 1.2438966989517213
1.2778307136736418 1.2718955278396606
1.2289078361109684 1.210432195663452
1.2200675638098466 1.2340282917022705
1.2442087248751992 1.2257927656173706
1.187478388610639 1.2887135744094849
1.1876147922716642 1.2433064699172973
1.2185274739014476 1.1453662157058715
