train validation
1.4007885456085205 1.4802980422973633
1.3983261585235596 1.4791747331619263
1.3959040641784668 1.4780855178833008
1.393510341644287 1.4770565032958984
1.3911778926849365 1.4760481119155884
1.3888930082321167 1.4750137329101562
1.386650562286377 1.4740270376205444
1.3844441175460815 1.472847819328308
1.3822687864303589 1.4717828035354614
1.3801058530807495 1.470982551574707
1.3779717683792114 1.4701200723648071
1.375847578048706 1.4693166017532349
1.373746395111084 1.4685744047164917
1.3716588020324707 1.4678679704666138
1.3695943355560303 1.4671536684036255
1.3675464391708374 1.4664605855941772
1.365525484085083 1.4657288789749146
1.3635497093200684 1.4651161432266235
1.3615882396697998 1.4644440412521362
1.3596477508544922 1.4639426469802856
1.3583984375 1.4635378122329712
1.35715913772583 1.4631649255752563
1.3559209108352661 1.4628013372421265
1.3546833992004395 1.462441325187683
1.353459119796753 1.462071418762207
1.3522453308105469 1.4617009162902832
1.3510441780090332 1.461316466331482
1.3498553037643433 1.4609489440917969
1.3486744165420532 1.460593581199646
1.347503900527954 1.4602431058883667
1.3463398218154907 1.4598679542541504
1.345184087753296 1.4594966173171997
1.3440399169921875 1.4591789245605469
1.3429075479507446 1.458841323852539
1.3417878150939941 1.4588464498519897
1.3406745195388794 1.4586138725280762
1.3395720720291138 1.4583758115768433
1.3384761810302734 1.4582633972167969
1.337388277053833 1.457964301109314
1.3363112211227417 1.45784330368042
1.3352442979812622 1.4576773643493652
1.334181547164917 1.4574847221374512
1.333133339881897 1.4574542045593262
1.332092523574829 1.4572062492370605
1.331060767173767 1.4571442604064941
1.3300385475158691 1.4570426940917969
1.3290246725082397 1.456910252571106
1.328019618988037 1.456743597984314
1.3270225524902344 1.4565788507461548
1.326030969619751 1.4563441276550293
1.3250428438186646 1.4561282396316528
1.3240611553192139 1.4559143781661987
1.3230849504470825 1.4556612968444824
1.3221166133880615 1.455428123474121
1.3211528062820435 1.4552136659622192
1.320191740989685 1.4549707174301147
1.3192381858825684 1.4547368288040161
1.318287968635559 1.4545174837112427
1.3173439502716064 1.454306721687317
1.3164048194885254 1.454121470451355
1.31547212600708 1.4539347887039185
1.3145432472229004 1.4537285566329956
1.313622236251831 1.4535161256790161
1.3127092123031616 1.453272819519043
1.311798095703125 1.4530738592147827
1.3108888864517212 1.4528521299362183
1.3099836111068726 1.4526442289352417
1.3090837001800537 1.4524250030517578
1.3081878423690796 1.4522122144699097
1.3072954416275024 1.4520374536514282
1.306405782699585 1.4518227577209473
1.3055182695388794 1.4518648386001587
1.3046379089355469 1.4518852233886719
1.3036235570907593 1.4518293142318726
1.3026260137557983 1.4517549276351929
1.3016337156295776 1.4516419172286987
1.300653338432312 1.4515447616577148
1.2996737957000732 1.4514135122299194
1.2986997365951538 1.4512802362442017
1.2977261543273926 1.4511308670043945
1.296755313873291 1.4509587287902832
1.2957863807678223 1.4508084058761597
1.2948185205459595 1.4506603479385376
1.2938594818115234 1.450494647026062
1.2929129600524902 1.4503616094589233
1.2919706106185913 1.4501982927322388
1.2910305261611938 1.45004141330719
1.290092945098877 1.449875831604004
1.2891581058502197 1.449785590171814
1.2882294654846191 1.4496302604675293
1.287309169769287 1.4494754076004028
1.2863521575927734 1.4494194984436035
1.285266399383545 1.4493759870529175
1.2841871976852417 1.4490612745285034
1.283133625984192 1.4487169981002808
1.2819982767105103 1.4482377767562866
1.2803491353988647 1.4476391077041626
1.2784446477890015 1.4469962120056152
1.2763272523880005 1.4461240768432617
1.2731810808181763 1.445654034614563
1.270812749862671 1.4447084665298462
1.2685445547103882 1.4427887201309204
1.26631498336792 1.4401272535324097
1.26396906375885 1.4360660314559937
1.2610934972763062 1.4316445589065552
1.2577730417251587 1.427280306816101
1.2541999816894531 1.4225578308105469
1.250282645225525 1.4181216955184937
